EG1311,Design and Make,4,1,1
MA1511,Engineering Calculus,2,1,1
MA1512,Differential Equation for Engineering,2,1,1
ESP1111,Engineering Principles In-Action,4,1,1
GE/UE,Unrestricted Elective,4,1,1
DTK1234,Design Thinking,4,1,2
MA1508E,Linear Algebra for Engineering,4,1,2
PF1101,Fundamentals of Project Management,4,1,2
GEA1000,Quantitative Reasoning with Data,4,1,2
ESP2111,Sensor System Electronics,4,1,2
IE2141,Systems Thinking and Dynamics,4,2,1
ES2631,Critique and Communication of Thinking and Design,4,2,1
ESP2107,Numerical Methods and Statistics,4,2,1
ME2121,Engineering Thermodynamics & Heat Transfer,4,2,1
GE/UE,Unrestricted Elective,4,2,1
CDE2501,Liveable Cities,4,2,2
EE2211,Introduction to Machine Learning,4,2,2
ESP2110,Design Project,4,2,2
PC3235B,Applied Solid State Physics,4,2,2
GE/UE,Unrestricted Elective,4,2,2
EG3611A,Industrial Attachment,10,3,1
ESP2106,Principles of Continua,4,3,1
GE/UE,Unrestricted Elective,4,3,1
CDE2000,Creating Narratives,4,3,2
PC2130B,Applied Quantum Physics,4,3,2
EG2401A,Engineering Professionalism,2,3,2
PC2020,Electromagnetics for Electrical Engineers,4,3,2
GE/UE,Unrestricted Elective,4,3,2
GE/UE,Unrestricted Elective,4,3,2
ESP4901,Research Project,4,4,1
ESP3903,Major Design Project,4,4,1
GE/UE,Unrestricted Elective,4,4,1
GE/UE,Unrestricted Elective,4,4,1
GE/UE,Unrestricted Elective,4,4,1
ESP4901,Research Project,4,4,2
GE/UE,Unrestricted Elective,4,4,2
GE/UE,Unrestricted Elective,4,4,2
GE/UE,Unrestricted Elective,4,4,2
GE/UE,Unrestricted Elective,4,4,2

