MLE1001B,Materials Science & Engineering Principles & Practice I,4,1,1
CE2407A,Uncertainty Analysis for Engineers,2,1,1
DTK1234,Design Thinking,4,1,1
GEA1000,Quantitative Reasoning with Data,4,1,1
MA1513,Linear Algebra with Differential Equations,2,1,1
PF1101,Project Management,4,1,1
MLE2001A,Materials Science & Engineering Principles & Practice II,4,1,2
CS1010E,Programming Methodology,4,1,2
EG1311,Design and Make,4,1,2
MA1511,Engineering Calculus,2,1,2
MA1512,Differential Equations for Engineering,2,1,2
GESS/GEC/GEN,General Education Elective,4,1,2
MLE2102,Thermodynamics and Renewable Energy Technologies,4,2,1
EE2211,Introduction to Machine Learning,4,2,1
EG2501/CDE2501,Liveable Cities,4,2,1
EG2401A,Engineering Professionalism,2,2,1
UE,Unrestricted Elective,4,2,1
MLE2105,Electronic Properties of Materials,4,2,2
ES2631,Critique and Communication of Thinking and Design,4,2,2
IE2141,Systems Thinking and Dynamics,4,2,2
GESS/GEC/GEN,General Education Elective,4,2,2
MLE2103A,Materials Kinetics & Processing,2,3,1
MLE3101A,Materials Characterization,3,3,1
MLE3101,Materials Characterization Laboratory,3,3,1
EG3611A,Industrial Attachment,10,3,2
MLE Technical Elective,MLE Technical Elective,4,3,2
MLE4101B,B.Eng. Dissertation or MLE4102A Design Project,4,4,1
MLE3103,Materials Design: Aerospace to Biomedical Applications,4,4,1
MLE3111A,Materials Properties and Processing Laboratory,2,4,1
CDE2000,Creating Narratives,4,4,1
MLE4101B,B.Eng. Dissertation or MLE4102A Design Project (cont'd),4,4,2
MLE3112,Machine Learning Approaches in Materials Laboratory,2,4,2
MLE Technical Elective,MLE Technical Elective,4,4,2
