GEA1000,Quantitative Reasoning with Data,4,1,1,null
DTK1234,Design Thinking,4,1,1,null
MA1513,Linear Algebra with Differential Equations,2,1,1,null
BN1111,Engineering Principles and Practice I,4,1,1,null
PF1101,Fundamentals of Project Management,4,1,1,null
CE2407A,Engineering Uncertainty Analysis,2,1,1,null
CS1010E,Programming Methodology,4,1,2,null
EG1311,Design and Make,4,1,2,null
MA1511,Engineering Calculus,2,1,2,null
CE2407B,Introduction to Numerical Methods for Engineers,2,1,2,null
BN2111,Engineering Principles and Practice II,4,1,2,null
CDE2501,Liveable Cities,4,2,1,null
EE2211,Introduction to Machine Learning,4,2,1,null
BN2301,Biochemistry and Biomaterials for Bioengineers,4,2,1,null
BN2403,Fundamentals of Biosignals and Bioinstrumentation,4,2,1,null
EG2401A,Engineering Professionalism,2,2,1,null
BN2201,Quantitative Physiology for Bioengineers,4,2,1,null
ES2631,Critique and Communication of Thinking and Design,4,2,2,null
IE2141,Systems Thinking and Dynamics,4,2,2,null
BN2102,Bioengineering Data Analysis,4,2,2,null
BN2204,Fundamentals of Biomechanics,4,2,2,null
EG3611A,Industrial Attachment,10,3,1,null
CDE2000,Creating Narratives,4,3,2,null
BN3101A,Biomedical Engineering Design,4,3,2,null
BN4101,B.Eng Dissertation,4,4,1,null
BN4101,B.Eng Dissertation,4,4,2,null
