CG1111A,Engineering Principles & Practice I,4,1,1
CS1010,Programming Methodology,4,1,1
EG1311,Design and Make,4,1,1
MA1511,Engineering Calculus,2,1,1
MA1512,Differential Equation for Engineering,2,1,1
UE,Unrestricted Elective,4,1,1
CG2111A,Engineering Principles & Practice II,4,1,2
DTK1234,Design Thinking,4,1,2
MA1508E,Linear Algebra for Engineering,4,1,2
PF1101,Fundamentals of Project Management,4,1,2
GEA1000,Quantitative Reasoning with Data,4,1,2
cg2060,userAdded,4,1,2
CS1231,Discrete Structures,4,2,1
CS2040C,Data Structures & Algorithms,4,2,1
GEC1XXX,Cultures and Connections,4,2,1
IE2141,Systems Thinking and Dynamics,4,2,1
ES2631,Critique and Communication of Thinking and Design,4,2,1
CG2023,Signals & Systems,4,2,2
CS2113,Software Engineering & OOP,4,2,2
EE2026,Digital Design,4,2,2
EE2211,Introduction to Machine Learning,4,2,2
EG2501,Liveable Cities,4,2,2
EG3611A,Industrial Attachment,10,3,1
EG2401A,Engineering Professionalism,2,3,1
UE,Unrestricted Elective,4,3,1
UE,Unrestricted Elective,4,3,1
CG2027,Transistor-level Digital Circuits,2,3,2
CG2028,Computer Organization,2,3,2
CG2271,Real-Time Operating Systems,4,3,2
CDE2000,Creating Narratives,4,3,2
GESSXXXX,Singapore Studies,4,3,2
ST2334,Probability and Statistics,4,3,2
CG4002,CEG Capstone Project,8,4,1
EE4204,Computer Networks,4,4,1
GEN1XXX,Communities & Engagement,4,4,1
UE,Unrestricted Elective,4,4,1
UE,Unrestricted Elective,4,4,2
UE,Unrestricted Elective,4,4,2
UE,Unrestricted Elective,4,4,2
UE,Unrestricted Elective,4,4,2
UE,Unrestricted Elective,4,4,2
